outlook, temp, humidity, wind, playtennis
sunny, hot, high, weak, no
sunny, hot, high, strong, no
overcast, hot, high, weak, no
rain, mild, high, weak, yes
rain, cool, normal, weak, yes
rain, cool, normal, strong, no
overcast, cool, normal, strong, yes
sunny, mild, high, weak, no
sunny, cool, normal, weak, yes
rain, mild, normal, weak, yes
sunny, mild, normal, strong, yes
overcast, mild, high, strong, yes
overcast, hot, normal, weak, no
rain, mild, high, strong, no
overcast, mild, high, weak, no
sunny, hot, high, weak, yes
rain, mild, high, weak, no
overcast, cool, normal, weak, yes
rain, cool, weak, weak, yes
rain, mild, weak, weak, yes
overcast, mild, weak, strong, yes
overcast, normal, high, weak, no
sunny, cool, high, strong, no
sunny, cool, normal, weak, no
sunny, hot, cool, strong, yes
overcast, mild, high, strong, yes
rain, hot, normal, weak, no
overcast, mild, normal, strong, no
